Project ID,Project Name,Category,Sub Category,Current Stage,Total Budget (₹),Physical Progress (%),Financial Progress (%),CE Score,Risk Level,Circle,Ward,Locality,Contractor,Contractor Grade,Planned Start,Planned Completion,Delay Days,Quality Score,Priority
ENV-2025-001-C1,"Road No. 36 Eco Park - Phase 3",ENV,GI,7,1172480547,71.1,64.5,NaN,LOW,C1,"Jubilee Hills","Road No. 36","Ramky Infrastructure",A,2024-06-12,2025-10-12,24,70.3,MEDIUM
SMART-2025-002-C4,"Main Road Smart Infrastructure - Phase 3",SMART,IS,4,4729056824,45,36.7,NaN,LOW,C4,"Zaheerabad","Main Road","AFCONS Infrastructure",AA,2024-07-11,2025-12-11,0,72.4,LOW
SMART-2025-003-C3,"Metro Station Digital Hub - Phase 3",SMART,DI,8,2015191595,88.2,81.9,NaN,MEDIUM,C3,"Miyapur","Metro Station","Tata Projects",AAA,2024-09-10,2027-05-10,51,88.3,MEDIUM
ENV-2025-004-C5,"Bus Stand Green Belt - Phase 3",ENV,PC,7,128813596856,71.4,63.3,NaN,HIGH,C5,"Vikarabad","Bus Stand","NCC Limited",AA,2024-06-07,2026-06-07,26,77.6,HIGH
SMART-2025-005-C2,"IT Corridor Smart Infrastructure - Phase 2",SMART,DI,4,642114826,49.1,42,NaN,LOW,C2,"Nanakramguda","IT Corridor","Simplex Infrastructures",A,2024-10-14,2025-05-14,0,85.1,LOW
INFRA-2025-006-C1,"Mindspace Elevated Corridor - Phase 2",INFRA,RT,3,1735010296,36.6,32.1,NaN,LOW,C1,"Madhapur","Mindspace","L&T Construction",AAA,2024-01-27,2025-10-27,0,94.2,LOW
INFRA-2025-007-C5,"Bus Stand Bridge - Phase 1",INFRA,RT,6,53038451140,60.9,57.7,NaN,HIGH,C5,"Vikarabad","Bus Stand","KNR Constructions",A,2024-01-29,2027-05-29,65,89.6,HIGH
URBAN-2025-008-C3,"IIT Campus Area Development - Phase 1",URBAN,PA,9,210731540361,94.2,87.3,NaN,HIGH,C3,"Kompally","IIT Campus","IRB Infrastructure",AA,2023-04-01,2024-07-01,66,85.5,HIGH
ENV-2025-009-C3,"X Roads Lake Rejuvenation - Phase 1",ENV,GI,7,43876560759,74.5,65.4,NaN,LOW,C3,"Nizampet","X Roads","NCC Limited",AA,2024-08-06,2025-06-06,29,86.6,MEDIUM
INFRA-2025-010-C1,"DLF Bridge - Phase 1",INFRA,RT,8,9307416905,87.5,87.1,NaN,LOW,C1,"Gachibowli","DLF","Tata Projects",AAA,2024-04-13,2028-01-13,2,89.7,MEDIUM
INFRA-2025-011-C1,"Mindspace Flyover - Phase 3",INFRA,RT,1,66492358739,6.6,3.8,NaN,MEDIUM,C1,"Madhapur","Mindspace","NCC Limited",AA,2024-07-16,2025-09-16,0,73.6,MEDIUM
INFRA-2025-012-C2,"Airport Road Road Widening - Phase 1",INFRA,RT,7,195357856187,70.8,64,NaN,HIGH,C2,"Shamshabad","Airport Road","L&T Construction",AAA,2024-05-12,2027-06-12,73,91.9,HIGH
URBAN-2025-013-C5,"Bus Stand Township Development - Phase 3",URBAN,AD,2,29203229600,28.3,25.3,NaN,LOW,C5,"Vikarabad","Bus Stand","IRB Infrastructure",AA,2023-10-24,2027-02-24,0,71.4,MEDIUM
SMART-2025-014-C3,"Housing Board Smart Infrastructure - Phase 3",SMART,IS,9,1777801134,95.4,87.6,NaN,MEDIUM,C3,"Bachupally","Housing Board","KNR Constructions",A,2024-06-12,2028-03-12,33,82.3,MEDIUM
INFRA-2025-015-C3,"Metro Station Bridge - Phase 1",INFRA,PU,6,47176759153,67.1,62.7,NaN,MEDIUM,C3,"Miyapur","Metro Station","Simplex Infrastructures",A,2024-08-06,2028-05-06,48,76.4,MEDIUM
ENV-2025-016-C5,"Market Area Green Belt - Phase 2",ENV,PC,1,226091013617,11.2,9.4,NaN,HIGH,C5,"Chevella","Market Area","IRB Infrastructure",AA,2023-06-10,2025-07-10,0,87.1,HIGH
SMART-2025-017-C3,"Metro Station Command Center - Phase 3",SMART,IS,9,9248252194,93.6,88,NaN,LOW,C3,"Miyapur","Metro Station","KNR Constructions",A,2023-09-05,2027-02-05,14,76.8,MEDIUM
SMART-2025-018-C5,"Market Area Digital Hub - Phase 3",SMART,DI,8,32463666293,85.2,76.8,NaN,MEDIUM,C5,"Chevella","Market Area","Tata Projects",AAA,2024-11-26,2025-06-26,48,83.2,MEDIUM
ENV-2025-019-C1,"Road No. 36 Eco Park - Phase 3",ENV,GI,7,286590496381,74,73.7,NaN,HIGH,C1,"Jubilee Hills","Road No. 36","KNR Constructions",A,2024-12-16,2027-10-16,62,94.0,HIGH
SMART-2025-020-C5,"Railway Station Digital Hub - Phase 1",SMART,IS,9,1661792192,98.5,94.7,NaN,HIGH,C5,"Tandur","Railway Station","IRB Infrastructure",AA,2023-05-06,2023-11-06,65,73.7,HIGH
SMART-2025-021-C1,"Mindspace Smart Infrastructure - Phase 3",SMART,DI,6,2389688021,67.4,67,NaN,MEDIUM,C1,"Madhapur","Mindspace","Simplex Infrastructures",A,2023-06-17,2027-06-17,52,71.9,MEDIUM
