Project ID,Project Name,Category,Work Type,Total Budget (₹ Cr),GO Number,GO Date,Approval Authority,Sanctioned Amount (₹ Cr),Financial Year,AS File Number,Division,Current Stage,Physical Progress (%),Risk Level,Circle,Village,Mandal,Contractor
ENV-2025-001-C1,"Narsingi Eco Park - Phase A",ENV,PARKS,117.25,G.O.Ms.No.183,2024-04-24,MC,123,2024-25,"HMDA/DEV/CE/II/001/2024-25",II,7,71.1,LOW,C1,Narsingi,Rajendranagar,"Ramky Infrastructure"
SMART-2025-002-C4,"Shamshabad Smart Infrastructure",SMART,INFRASTRUCTURE,472.91,G.O.Ms.No.31,2024-06-08,Govt,497,2024-25,"HMDA/DEV/CE/I/002/2024-25",I,4,45,LOW,C4,Shamshabad,Shamshabad,"AFCONS Infrastructure"
SMART-2025-003-C3,"Patancheru Smart City Infrastructure",SMART,INFRASTRUCTURE,201.52,G.O.Ms.No.140,2024-08-08,Govt,212,2024-25,"HMDA/DEV/CE/II/003/2024-25",II,8,88.2,MEDIUM,C3,Patancheru,Patancheru,"Tata Projects"
ENV-2025-004-C5,"Nizampet Water Body Development",ENV,LAKES,12881.36,G.O.Ms.No.143,2024-04-02,Board,13525,2024-25,"HMDA/DEV/CE/VI/004/2024-25",VI,7,71.4,HIGH,C5,Nizampet,Quthbullapur,"NCC Limited"
SMART-2025-005-C2,"Shamshabad Smart City Infrastructure",SMART,INFRASTRUCTURE,64.21,G.O.Ms.No.37,2024-08-10,Secretary,67,2024-25,"HMDA/DEV/CE/VI/005/2024-25",VI,4,49.1,LOW,C2,Shamshabad,Shamshabad,"Simplex Infrastructures"
INFRA-2025-006-C1,"Road No. 12 Road Improvement Works",INFRA,ROADS,173.50,G.O.Rt.No.840,2023-12-05,MC,182,2023-24,"HMDA/DEV/CE/IV/006/2023-24",IV,3,36.6,LOW,C1,Banjara Hills,Banjara Hills,"L&T Construction"
INFRA-2025-007-C5,"Road No. 36 to Road No. 36 Road Widening",INFRA,ROADS,5303.85,G.O.Rt.No.780,2023-11-11,Board,5569,2023-24,"HMDA/DEV/CE/V/007/2023-24",V,6,60.9,HIGH,C5,Jubilee Hills,Jubilee Hills,"KNR Constructions"
URBAN-2025-008-C3,"Kokapet Community Center",URBAN,BUILDINGS,21073.15,G.O.Rt.No.726,2023-02-18,Board,22127,2022-23,"HMDA/DEV/CE/VI/008/2022-23",VI,9,94.2,HIGH,C3,Kokapet,Rajendranagar,"IRB Infrastructure"
ENV-2025-009-C3,"Nizampet Urban Park Development",ENV,PARKS,4387.66,G.O.Ms.No.129,2024-05-20,Board,4607,2024-25,"HMDA/DEV/CE/VI/009/2024-25",VI,7,74.5,LOW,C3,Nizampet,Quthbullapur,"NCC Limited"
INFRA-2025-010-C1,"Uppal Ring Road Road Improvement Works",INFRA,ROADS,930.74,G.O.Rt.No.987,2024-02-12,Board,977,2023-24,"HMDA/DEV/CE/II/010/2023-24",II,8,87.5,LOW,C1,Uppal,Uppal,"Tata Projects"
