Project ID,Project Name,Work Description,Category,Sub Category,Work Type,Current Stage,Total Budget (₹),Physical Progress (%),Financial Progress (%),Risk Level,Circle,Village,Mandal,District,Survey Numbers,Contractor,Contractor Grade,Priority
ENV-2025-001-C1,"Narsingi Eco Park - Phase A","Development and beautification of urban park at Narsingi including walking tracks, children play area and landscaping",ENV,GI,PARKS,7,1172480547,71.1,64.5,LOW,C1,Narsingi,Rajendranagar,Rangareddy,"596","Ramky Infrastructure",A,MEDIUM
SMART-2025-002-C4,"Shamshabad Smart Infrastructure","Development of smart city infrastructure including digital kiosks at Shamshabad, Shamshabad",SMART,IS,INFRASTRUCTURE,4,4729056824,45,36.7,LOW,C4,Shamshabad,Shamshabad,Rangareddy,"371","AFCONS Infrastructure",AA,LOW
SMART-2025-003-C3,"Patancheru Smart City Infrastructure","Development of smart city infrastructure including IoT sensors and connectivity at Patancheru, Patancheru",SMART,DI,INFRASTRUCTURE,8,2015191595,88.2,81.9,MEDIUM,C3,Patancheru,Patancheru,Sangareddy,"273, 274p, 275","Tata Projects",AAA,MEDIUM
ENV-2025-004-C5,"Nizampet Water Body Development","Rejuvenation and beautification of Nizampet lake including desilting, bund strengthening and pathway development",ENV,PC,LAKES,7,128813596856,71.4,63.3,HIGH,C5,Nizampet,Quthbullapur,Medchal-Malkajgiri,"484, 485, 486/1","NCC Limited",AA,HIGH
SMART-2025-005-C2,"Shamshabad Smart City Infrastructure","Development of smart city infrastructure including smart street lighting at Shamshabad, Shamshabad",SMART,DI,INFRASTRUCTURE,4,642114826,49.1,42,LOW,C2,Shamshabad,Shamshabad,Rangareddy,"467/1","Simplex Infrastructures",A,LOW
INFRA-2025-006-C1,"Road No. 12 Road Improvement Works","Construction and improvement of road from Road No. 12 to Road No. 12 including widening, drainage and street lighting in Banjara Hills, Banjara Hills",INFRA,RT,ROADS,3,1735010296,36.6,32.1,LOW,C1,Banjara Hills,Banjara Hills,Hyderabad,"509, 510, 511","L&T Construction",AAA,LOW
INFRA-2025-007-C5,"Road No. 36 to Road No. 36 Road Widening","Construction and improvement of road from Road No. 36 to Road No. 36 including widening, drainage and street lighting in Jubilee Hills, Jubilee Hills",INFRA,RT,ROADS,6,53038451140,60.9,57.7,HIGH,C5,Jubilee Hills,Jubilee Hills,Hyderabad,"189","KNR Constructions",A,HIGH
URBAN-2025-008-C3,"Kokapet Community Center","Construction of Office Complex at Kokapet, Rajendranagar including all amenities and infrastructure",URBAN,PA,BUILDINGS,9,210731540361,94.2,87.3,HIGH,C3,Kokapet,Rajendranagar,Rangareddy,"214, 215/5","IRB Infrastructure",AA,HIGH
ENV-2025-009-C3,"Nizampet Urban Park Development","Development and beautification of urban park at Nizampet including walking tracks, children play area and landscaping",ENV,GI,PARKS,7,43876560759,74.5,65.4,LOW,C3,Nizampet,Quthbullapur,Medchal-Malkajgiri,"210","NCC Limited",AA,MEDIUM
INFRA-2025-010-C1,"Uppal Ring Road Road Improvement Works","Construction and improvement of road from Uppal Ring Road to Uppal Ring Road including widening, drainage and street lighting in Uppal, Uppal",INFRA,RT,ROADS,8,9307416905,87.5,87.1,LOW,C1,Uppal,Uppal,Medchal-Malkajgiri,"273","Tata Projects",AAA,MEDIUM
